Data File for Simulation Results
Test Time: Tue Apr 28 18:20:13 2020
---Parameters---
10000
150
10
5
0.4

Round Healthy Sick Healed Dead
0 9999 1 0 0 
1 9999 1 0 0 
2 9995 5 0 0 
3 9993 7 0 0 
4 9990 10 0 0 
5 9983 17 0 0 
6 9976 23 1 0 
7 9971 28 1 0 
8 9964 31 5 0 
9 9957 36 7 0 
10 9945 45 10 0 
11 9932 51 16 1 
12 9914 62 22 2 
13 9898 73 27 2 
14 9875 89 34 2 
15 9854 103 41 2 
16 9828 117 50 5 
17 9803 129 63 5 
18 9776 138 80 6 
19 9749 149 94 8 
20 9714 161 115 10 
21 9675 179 136 10 
22 9644 184 161 11 
23 9604 199 186 11 
24 9576 200 211 13 
25 9535 214 238 13 
26 9488 226 272 14 
27 9442 233 308 17 
28 9388 256 336 20 
29 9343 261 374 22 
30 9299 277 400 24 
31 9242 293 438 27 
32 9179 309 483 29 
33 9120 322 527 31 
34 9064 324 577 35 
35 9003 340 620 37 
36 8942 357 661 40 
37 8884 358 714 44 
38 8820 359 777 44 
39 8763 357 832 48 
40 8714 350 879 57 
41 8644 359 938 59 
42 8581 361 996 62 
43 8515 369 1053 63 
44 8452 368 1114 66 
45 8381 382 1166 71 
46 8313 401 1214 72 
47 8248 396 1279 77 
48 8169 412 1337 82 
49 8104 411 1397 88 
50 8043 409 1458 90 
51 7969 412 1527 92 
52 7888 425 1593 94 
53 7808 440 1656 96 
54 7719 450 1733 98 
55 7644 460 1795 101 
56 7556 487 1851 106 
57 7476 493 1925 106 
58 7399 489 1998 114 
59 7315 493 2072 120 
60 7233 486 2156 125 
61 7157 487 2228 128 
62 7079 477 2308 136 
63 7000 476 2383 141 
64 6920 479 2454 147 
65 6821 494 2536 149 
66 6733 500 2610 157 
67 6634 523 2685 158 
68 6537 542 2757 164 
69 6454 546 2830 170 
70 6362 558 2905 175 
71 6275 546 2999 180 
72 6171 562 3084 183 
73 6073 561 3180 186 
74 5977 560 3274 189 
75 5880 574 3352 194 
76 5781 581 3437 201 
77 5675 600 3516 209 
78 5579 592 3616 213 
79 5478 595 3710 217 
80 5371 606 3794 229 
81 5273 607 3883 237 
82 5170 611 3978 241 
83 5069 606 4078 247 
84 4986 593 4171 250 
85 4903 575 4261 261 
86 4819 552 4360 269 
87 4730 543 4453 274 
88 4639 531 4551 279 
89 4542 527 4644 287 
90 4455 531 4721 293 
91 4372 531 4798 299 
92 4286 533 4877 304 
93 4205 525 4961 309 
94 4135 504 5045 316 
95 4052 490 5138 320 
96 3978 477 5218 327 
97 3905 467 5295 333 
98 3833 453 5374 340 
99 3760 445 5452 343 
100 3689 446 5520 345 
101 3605 447 5599 349 
102 3529 449 5669 353 
103 3459 446 5738 357 
104 3381 452 5806 361 
105 3307 453 5873 367 
106 3232 457 5940 371 
107 3158 447 6020 375 
108 3088 441 6092 379 
109 3013 446 6160 381 
110 2943 438 6233 386 
111 2857 450 6304 389 
112 2782 450 6375 393 
113 2705 453 6446 396 
114 2631 457 6511 401 
115 2564 449 6583 404 
116 2492 451 6649 408 
117 2421 436 6731 412 
118 2356 426 6803 415 
119 2291 414 6876 419 
120 2228 403 6947 422 
121 2159 405 7013 423 
122 2087 405 7080 428 
123 2024 397 7146 433 
124 1949 407 7206 438 
125 1892 399 7271 438 
126 1823 405 7331 441 
127 1767 392 7400 441 
128 1701 386 7465 448 
129 1636 388 7527 449 
130 1572 377 7600 451 
131 1501 391 7652 456 
132 1448 375 7717 460 
133 1375 392 7769 464 
134 1314 387 7833 466 
135 1252 384 7892 472 
136 1187 385 7954 474 
137 1128 373 8023 476 
138 1061 387 8074 478 
139 1010 365 8143 482 
140 945 369 8198 488 
141 875 377 8256 492 
142 808 379 8316 497 
143 749 379 8370 502 
144 698 363 8429 510 
145 648 362 8477 513 
146 595 350 8540 515 
147 552 323 8606 519 
148 511 297 8669 523 
149 464 285 8727 524 
