Data File for Simulation Results
Test Time: Sat Apr 18 15:55:47 2020
---Parameters---
1600
100
50
5
0.15
0.3

Round Healthy Sick Healed Dead
0 1598 2 0 0 
1 1597 3 0 0 
2 1596 4 0 0 
3 1594 6 0 0 
4 1592 7 0 0 
5 1590 9 0 0 
6 1584 13 2 0 
7 1578 18 3 0 
8 1577 18 4 0 
9 1575 19 5 0 
10 1566 26 6 1 
11 1558 32 7 2 
12 1551 33 10 5 
13 1538 42 11 8 
14 1523 57 11 8 
15 1508 67 16 8 
16 1489 80 19 11 
17 1470 91 24 14 
18 1441 110 31 17 
19 1410 130 39 20 
20 1378 150 45 26 
21 1338 179 51 31 
22 1275 226 63 35 
23 1210 270 79 40 
24 1123 331 96 49 
25 1033 388 117 61 
26 930 457 141 71 
27 830 516 172 81 
28 729 556 216 98 
29 646 577 261 115 
30 547 595 320 137 
31 468 563 397 171 
32 410 523 465 201 
33 354 475 541 229 
34 310 415 610 264 
35 281 353 677 288 
36 259 277 748 315 
37 243 214 798 344 
38 235 155 847 362 
39 225 119 879 376 
40 221 76 914 388 
41 219 47 941 392 
42 219 32 954 394 
43 216 25 960 398 
44 214 22 964 399 
45 214 13 971 401 
46 214 8 975 402 
47 214 6 976 403 
48 214 6 976 403 
49 214 2 977 406 
50 214 0 977 408 
51 214 0 977 408 
52 214 0 977 408 
53 214 0 977 408 
54 214 0 977 408 
55 214 0 977 408 
56 214 0 977 408 
57 214 0 977 408 
58 214 0 977 408 
59 214 0 977 408 
60 214 0 977 408 
61 214 0 977 408 
62 214 0 977 408 
63 214 0 977 408 
64 214 0 977 408 
65 214 0 977 408 
66 214 0 977 408 
67 214 0 977 408 
68 214 0 977 408 
69 214 0 977 408 
70 214 0 977 408 
71 214 0 977 408 
72 214 0 977 408 
73 214 0 977 408 
74 214 0 977 408 
75 214 0 977 408 
76 214 0 977 408 
77 214 0 977 408 
78 214 0 977 408 
79 214 0 977 408 
80 214 0 977 408 
81 214 0 977 408 
82 214 0 977 408 
83 214 0 977 408 
84 214 0 977 408 
85 214 0 977 408 
86 214 0 977 408 
87 214 0 977 408 
88 214 0 977 408 
89 214 0 977 408 
90 214 0 977 408 
91 214 0 977 408 
92 214 0 977 408 
93 214 0 977 408 
94 214 0 977 408 
95 214 0 977 408 
96 214 0 977 408 
97 214 0 977 408 
98 214 0 977 408 
99 214 0 977 408 
