Data File for Simulation Results
Test Time: Thu Apr 30 08:52:15 2020
---Parameters---
40000
100
10
5
0.4

Round Healthy Sick Healed Dead
0 39998 2 0 0 
1 39993 7 0 0 
2 39989 11 0 0 
3 39982 18 0 0 
4 39972 28 0 0 
5 39959 41 0 0 
6 39949 49 2 0 
7 39936 57 7 0 
8 39920 69 10 1 
9 39894 88 17 1 
10 39867 105 26 2 
11 39841 118 39 2 
12 39817 132 48 3 
13 39786 151 60 3 
14 39759 161 77 3 
15 39725 169 102 4 
16 39692 175 127 6 
17 39653 188 151 8 
18 39607 209 174 10 
19 39550 236 201 13 
20 39485 274 227 14 
21 39407 318 261 14 
22 39338 354 292 16 
23 39251 402 329 18 
24 39160 447 374 19 
25 39068 482 428 22 
26 38988 497 490 25 
27 38884 523 559 34 
28 38773 565 627 35 
29 38641 610 711 38 
30 38513 648 797 42 
31 38355 714 881 50 
32 38200 788 957 55 
33 38027 857 1057 59 
34 37833 942 1157 68 
35 37633 1006 1284 77 
36 37423 1088 1411 78 
37 37206 1150 1556 88 
38 36978 1223 1701 98 
39 36718 1309 1864 109 
40 36441 1392 2051 116 
41 36154 1479 2237 130 
42 35856 1568 2441 135 
43 35517 1689 2649 145 
44 35172 1806 2863 159 
45 34800 1919 3108 173 
46 34420 2019 3366 195 
47 34027 2127 3634 212 
48 33593 2264 3914 229 
49 33149 2366 4243 242 
50 32640 2531 4566 263 
51 32120 2682 4917 281 
52 31614 2807 5281 298 
53 31087 2940 5648 325 
54 30518 3075 6061 346 
55 29959 3190 6477 374 
56 29407 3232 6958 403 
57 28772 3347 7450 431 
58 28155 3460 7926 459 
59 27567 3521 8421 491 
60 26958 3560 8966 516 
61 26324 3637 9497 542 
62 25681 3725 10028 566 
63 25015 3756 10624 605 
64 24342 3813 11203 642 
65 23649 3913 11755 683 
66 22989 3970 12326 715 
67 22330 3992 12929 749 
68 21625 4056 13529 790 
69 20864 4150 14164 822 
70 20200 4142 14798 860 
71 19487 4159 15446 908 
72 18762 4227 16065 946 
73 18041 4288 16689 982 
74 17320 4305 17358 1017 
75 16637 4222 18077 1064 
76 15950 4246 18714 1090 
77 15276 4208 19392 1124 
78 14589 4172 20065 1174 
79 13929 4112 20746 1213 
80 13282 4034 21429 1255 
81 12693 3941 22067 1299 
82 12134 3813 22719 1334 
83 11561 3710 23363 1366 
84 11000 3588 24004 1408 
85 10470 3459 24623 1448 
86 9958 3322 25244 1476 
87 9462 3227 25799 1512 
88 8988 3141 26325 1546 
89 8560 2997 26862 1581 
90 8131 2865 27398 1606 
91 7724 2745 27890 1641 
92 7333 2625 28380 1662 
93 6971 2490 28857 1682 
94 6603 2385 29308 1704 
95 6259 2299 29715 1727 
96 5958 2168 30124 1750 
97 5669 2050 30510 1771 
98 5354 1978 30878 1790 
99 5073 1897 31219 1811 
